year,dairy,production,consumption
2015,치즈,23188,103899
2015,버터,3587,10206
2015,발효유,596928,589768
2015,백색시유,1345440,1345440
2015,가공시유,302046,302046
2015,조제분유,22183,16583
2015,전지분유,2615,4050
2015,탈지분유,17076,19742
2015,연유,8079,4593
2014,백색시유,1356301,1356301
2014,치즈,23779,117829
2014,버터,4311,9185
2014,연유,8535,2732
2014,발효유,572418,567069
2014,전지분유,2784,4178
2014,조제분유,17991,13555
2014,가공시유,280693,280693
2014,탈지분유,21395,32029
2013,치즈,22389,107558
2013,버터,2003,7950
2013,연유,6012,1069
2013,탈지분유,11670,31422
2013,전지분유,1912,4031
2013,조제분유,17541,13737
2013,가공시유,291307,291307
2013,백색시유,1392204,1392204
2013,발효유,573672,566910
2012,전지분유,1632,3384
2012,조제분유,18236,14475
2012,가공시유,280161,280161
2012,백색시유,1405132,1405132
2012,발효유,557639,551595
2012,연유,4214,1728
2012,버터,3371,10446
2012,치즈,22522,99243
2012,탈지분유,14223,27079
2011,전지분유,1802,6685
2011,조제분유,15191,13786
2011,가공시유,286309,286309
2011,백색시유,1338081,1338081
2011,탈지분유,3959,37278
2011,발효유,522005,516687
2011,치즈,24708,99520
2011,버터,1152,9800
2011,연유,2620,1611
2010,백색시유,1361958,1361958
2010,가공시유,279160,279160
2010,조제분유,14513,14860
2010,전지분유,2569,4157
2010,발효유,502604,496706
2010,버터,2636,9121
2010,연유,3744,3294
2010,탈지분유,9542,19601
2010,치즈,27404,88608
2009,백색시유,1389585,1389585
2009,가공시유,312270,312270
2009,조제분유,14453,13913
2009,전지분유,3124,4209
2009,발효유,445738,439578
2009,연유,3949,3382
2009,버터,3493,8396
2009,치즈,23199,71444
2009,탈지분유,15193,27795
2008,발효유,454931,449850
2008,치즈,25016,71951
2008,버터,3512,6956
2008,연유,3546,3427
2008,탈지분유,19885,25342
2008,전지분유,3430,4941
2008,백색시유,1351540,1351540
2008,가공시유,350755,350755
2008,조제분유,15632,15034
2007,치즈,24366,74384
2007,버터,3948,8124
2007,연유,3567,3458
2007,탈지분유,22158,22740
2007,발효유,485218,479647
2007,조제분유,14642,14629
2007,가공시유,334631,334631
2007,백색시유,1361915,1361915
2007,전지분유,3565,4627
2006,백색시유,1343727,1343727
2006,가공시유,339855,339855
2006,조제분유,12766,13600
2006,전지분유,4020,6095
2006,탈지분유,18318,29920
2006,연유,3659,3662
2006,버터,3863,7282
2006,치즈,27929,72153
2006,발효유,504260,497390
2005,발효유,482438,476548
2005,가공시유,380317,380317
2005,버터,4013,8812
2005,연유,3948,3940
2005,탈지분유,23677,25805
2005,전지분유,4762,6645
2005,조제분유,15204,15742
2005,치즈,23724,68290
2005,백색시유,1310882,1310882
2004,버터,4038,7777
2004,연유,4127,4098
2004,탈지분유,24770,30985
2004,전지분유,4673,6547
2004,발효유,524471,517910
2004,가공시유,452943,452943
2004,백색시유,1328278,1328278
2004,치즈,24296,63595
2004,조제분유,15139,17800
2003,조제분유,18251,17566
2003,전지분유,6007,8859
2003,탈지분유,26319,35450
2003,연유,3837,3835
2003,버터,5210,7195
2003,가공시유,448359,448359
2003,발효유,554872,548035
2003,치즈,22637,57934
2003,백색시유,1380182,1380182
2002,조제분유,20595,21013
2002,전지분유,9074,8463
2002,탈지분유,35946,33928
2002,연유,3836,3751
2002,백색시유,1362107,1362107
2002,치즈,20706,52356
2002,발효유,540183,535409
2002,가공시유,302222,302222
2002,버터,5943,6569
2001,발효유,537768,533988
2001,치즈,20060,53089
2001,버터,4688,5973
2001,연유,4122,4134
2001,탈지분유,21625,30765
2001,가공시유,263538,263538
2001,조제분유,26204,29855
2001,전지분유,4444,6571
2001,백색시유,1465793,1465793
2000,버터,4310,4760
2000,연유,4130,4067
2000,탈지분유,24257,20746
2000,전지분유,5491,5630
2000,발효유,529603,526109
2000,가공시유,224132,224132
2000,백색시유,1447376,1447376
2000,치즈,14980,44189
2000,조제분유,26612,27282
1999,전지분유,2987,3680
1999,조제분유,17528,16828
1999,가공시유,146941,146941
1999,백색시유,1145451,1145451
1999,발효유,555346,552926
1999,연유,3228,3331
1999,버터,1125,2194
